City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
paita,4,PE,1570643638,290,-5.09,-81.11,62.6,14.99
kharhial,12,IN,1570643639,86,20.28,82.77,74.21,0.59
deputatskiy,100,RU,1570643104,97,69.3,139.9,3.29,3.08
xining,100,CN,1570643241,92,36.62,101.77,41.45,3.87
humboldt,98,CA,1570643640,46,52.21,-105.12,32.45,13.16
husum,100,DE,1570643640,93,54.49,9.05,53.01,11.41
richards bay,1,US,1570643245,63,46.84,-95.91,66.2,14.99
dukat,0,AL,1570643641,83,40.25,19.57,68,3.02
horki,34,BY,1570643644,95,54.29,30.98,43.79,10.42
coahuayana,100,MX,1570643645,69,18.62,-100.35,83.03,2.63
kawalu,65,ID,1570643646,86,-7.38,108.21,67.01,2.38
hurricane,1,US,1570643646,14,37.18,-113.29,75.2,5.82
provideniya,96,RU,1570643127,92,64.42,-173.23,31.55,6.2
sibolga,74,ID,1570643201,98,1.74,98.78,71.33,1.29
methven,99,NZ,1570643649,59,-43.63,171.65,57.99,1.99
dublin,40,IE,1570643650,81,53.35,-6.26,50,9.17
nisia floresta,3,GR,1570643294,84,39.39,21.64,55.99,3.24
gandai,4,IN,1570643650,83,21.67,81.1,74.39,3.45
vilhena,40,BR,1570643651,52,-12.74,-60.15,87.8,5.82
cantaura,100,VE,1570643653,81,9.31,-64.36,84.29,5.17
champerico,75,MX,1570643653,65,16.38,-93.6,82.4,4.7
yaan,57,NG,1570643292,87,7.38,8.57,77.81,4.17
lashio,0,MM,1570643654,87,22.93,97.75,63.77,1.03
neyyattinkara,75,IN,1570643654,83,8.4,77.08,82.4,3.36
kirakira,95,SB,1570643654,84,-10.46,161.92,75.11,5.46
nemuro,0,JP,1570643304,71,43.32,145.57,55.31,4.64
majene,93,ID,1570643655,88,-3.54,118.97,74.93,7.52
midleton,20,IE,1570643656,71,51.91,-8.17,52,12.75
jalu,100,LY,1570643656,14,29.03,21.55,92.03,11.49
caravelas,36,BR,1570643108,65,-17.73,-39.27,80.87,15.2
saint-francois,12,FR,1570643285,82,46.42,3.91,55.4,5.87
rundu,60,NA,1570643658,16,-17.91,19.77,91.4,5.82
faya,40,SA,1570643152,28,18.39,42.45,71.6,23.04
isangel,44,VU,1570643658,78,-19.55,169.27,70.97,6.53
kalaleh,50,IR,1570643659,60,37.38,55.49,75.2,11.41
yulara,0,AU,1570643190,18,-25.24,130.99,62.6,5.82
sidney,1,US,1570643660,28,40.28,-84.16,73.99,5.82
cabedelo,75,BR,1570643660,62,-6.97,-34.84,84.2,16.11
howard springs,1,US,1570643259,67,44.01,-97.53,66,24.16
mill valley,90,NL,1570643662,81,51.68,5.78,54,13.87
half moon bay,75,LR,1570643212,83,6.38,-10.7,82.4,11.41
ponta do sol,100,BR,1570643143,87,-0.53,-65.05,81.95,1.98
vargem grande,90,BR,1570643663,83,-22.89,-46.41,73.99,5.82
miyakonojo,0,JP,1570643664,87,31.78,131.06,57,3
errol,20,GB,1570643664,81,56.39,-3.21,51.8,20.8
fortuna,1,US,1570643147,47,40.6,-124.16,55.4,8.05
fostoria,20,US,1570643665,49,43.24,-95.16,69.01,20.8
ziniare,40,BF,1570643665,62,12.58,-1.3,86,9.17
shumyachi,79,RU,1570643666,94,53.86,32.43,44.69,11.88
ntungamo,59,UG,1570643666,70,-0.87,30.27,67.55,0.87
altamont,90,CA,1570643667,100,49.4,-98.5,41,21.92
seminole,1,US,1570643667,39,32.72,-102.64,82.99,16.11
sarahan,2,IN,1570643667,75,31.51,77.79,35.87,3.04
beyneu,100,KZ,1570643668,69,45.32,55.19,56.57,19.57
hailar,89,CN,1570643668,64,49.2,119.7,35.15,18.41
groa,75,FR,1570643668,76,48.67,-4.14,57.2,19.46
busembatia,100,UG,1570643669,81,0.77,33.62,69.35,3.05
healdsburg,1,US,1570643669,44,38.61,-122.87,66.99,5.82
bom jesus,0,ML,1570643670,19,14.95,-2.93,96.53,8.38
linxia,100,CN,1570643670,91,35.6,103.21,40.91,1.9
princeton,90,US,1570643671,87,40.35,-74.66,57.99,9.17
flin flon,20,FR,1570643294,82,48.5,6.66,57.2,4.7
lensk,100,RU,1570643673,93,60.71,114.91,15.71,6.59
savannah bight,75,US,1570643674,73,32.08,-81.09,75,11.41
kinablangan,100,PH,1570643674,87,7.69,126.55,72.41,3.71
klaksvik,92,FO,1570643205,87,62.23,-6.59,50,16.11
zawadzkie,40,PL,1570643675,93,50.61,18.48,53.01,5.82
algiers,1,US,1570643676,55,29.94,-90.04,90,5.82
kalia,98,BD,1570643676,85,23.05,89.63,75.83,3.49
berettyoujfalu,1,HU,1570643677,51,47.22,21.55,60.8,6.93
hasaki,0,JP,1570643157,87,35.73,140.83,57.2,8.05
iskateley,35,RU,1570643678,88,67.68,53.15,30.65,14.01
chernyshevskiy,97,RU,1570643678,88,63.01,112.47,15.89,7.73
baruun-urt,51,MN,1570643679,46,46.68,113.28,32.27,9.49
lucapa,100,AO,1570643206,82,-8.42,20.74,71.87,3.45
poronaysk,0,RU,1570643679,71,49.22,143.1,48.65,8.15
balkanabat,75,TM,1570643680,57,39.51,54.36,70.07,8.85
plotnikovo,52,RU,1570643680,76,55.04,83.4,32,4.47
siderno,47,IT,1570643680,69,38.28,16.3,77,1.12
ponta delgada,100,BR,1570643681,87,-0.53,-65.05,81.95,1.98
alekseyevsk,100,RU,1570643681,80,57.84,108.35,21.29,4.96
binucayan,100,PH,1570643681,98,8.25,125.72,69.71,2.55
tsabong,0,BW,1570643682,19,-26.02,22.4,74.39,21.95
rio gallegos,1,US,1570643682,40,41.11,-90.4,72,10.29
anadyr,33,RU,1570643683,85,64.73,177.51,24.8,13.42
salalah,40,OM,1570643683,74,17.01,54.1,82.4,3.36
singaraja,0,ID,1570643683,72,-8.11,115.08,79.97,3.74
qui nhon,40,BR,1570643684,58,-10.97,-37.6,84.2,14.99
leamington,75,CA,1570643684,68,42.05,-82.6,70,9.17
usinsk,100,RU,1570643685,86,66,57.56,33.35,9.58
grand haven,20,FR,1570643686,82,48.39,5.49,57.2,4.7
kafue,63,ZM,1570643686,21,-15.74,28.18,84.2,6.93
yagodnoye,100,RU,1570643687,80,62.52,149.63,14.99,0.86
san lawrenz,27,ML,1570643687,25,13.3,-4.9,94.37,7.15
guanica,1,PR,1570643088,70,17.97,-66.91,90,14.99
benicarlo,7,ES,1570643688,80,40.42,0.43,70.79,6.75
muli,96,CN,1570643267,69,28.08,109.56,69.89,3.02
macae,90,BR,1570643689,78,-22.37,-41.79,77,8.05
nalut,15,LY,1570643689,46,31.86,10.98,73.67,11.75
hattiesburg,1,US,1570643690,48,31.33,-89.29,86,3.94
canutama,99,BR,1570643690,55,-6.53,-64.38,87.71,0.36
brufut,75,GM,1570643691,74,13.38,-16.75,86,5.82
kirzhach,100,RU,1570643692,95,56.16,38.87,39.47,7.75
tucumcari,1,US,1570643692,30,35.17,-103.73,80.6,23.04
anupgarh,0,IN,1570643693,23,29.19,73.21,83.75,3.63
kungurtug,34,RU,1570643693,95,50.6,97.53,27.59,1.73
cayenne,75,GF,1570643693,59,4.94,-52.33,89.6,14.99
chumikan,100,RU,1570643694,79,54.72,135.31,36.77,1.08
borovoy,97,RU,1570643694,85,63.23,52.89,31.19,4.84
lewistown,1,US,1570643694,40,40.39,-90.15,75.99,10.29
muravlenko,93,RU,1570643695,86,63.79,74.5,38.57,20.71
calvinia,0,ZA,1570643695,49,-31.47,19.78,51.71,12.38
pangkalanbuun,40,ID,1570643696,90,-2.68,111.62,72.41,1.29
rudarpur,20,IN,1570643696,100,26.64,83.25,75.2,1.12
panzhihua,3,CN,1570643697,91,26.59,101.72,58.55,1.34
las torres de cotillas,75,PL,1570643697,100,49.74,19.43,55,3.36
soyo,40,AO,1570643698,78,-6.13,12.37,80.6,6.93
changping,100,CN,1570643698,82,40.22,116.23,66,6.71
marathon,40,CA,1570643288,72,48.72,-86.38,59,14.99
pisco,20,PE,1570643225,30,-13.71,-76.2,71.6,9.17
lazuri,40,RO,1570643699,66,46.36,23.02,53.6,2.24
issia,65,CI,1570643700,94,6.49,-6.58,75.29,4.55
pampa,1,US,1570643700,44,35.54,-100.96,80.6,21.92
ozinki,33,RU,1570643701,57,51.2,49.73,42.17,7.88
katobu,81,ID,1570643702,95,-4.94,122.53,71.87,3.94
carbondale,75,US,1570643702,82,38.82,-95.69,62.01,12.75
lumberton,40,US,1570643702,55,30.27,-94.2,86,5.82
alzamay,22,RU,1570643703,79,55.55,98.67,25.07,2.54
lata,9,IN,1570643138,77,30.78,78.62,27.41,1.61
lerwick,20,GB,1570643704,87,60.15,-1.15,51.8,17.22
lewisporte,20,CA,1570643704,50,49.25,-55.06,57.99,12.75
talaya,87,RU,1570643705,77,55.79,84.89,32,2.24
bay roberts,20,PH,1570643705,78,14.18,121.28,81,2.24
mount isa,20,GB,1570643706,76,53.66,-1.85,53.6,11.41
leopold,1,US,1570643706,78,38.1,-86.58,73.4,6.93
sioux lookout,40,US,1570643706,45,46.74,-90.88,72,5.82
kedrovyy,93,RU,1570643707,79,56.17,91.82,23,3.57
bronnoysund,95,NO,1570643708,70,65.46,12.2,42.8,13.87
partizansk,0,RU,1570643709,93,43.13,133.13,44.33,1.29
morro bay,58,EC,1570643709,76,-2.63,-80.33,73.49,16.83
bemidji,1,US,1570643709,63,47.48,-94.89,64.4,14.99
anta,20,PE,1570643710,13,-13.47,-72.15,71.01,16.11
katangli,33,RU,1570643163,77,51.71,143.23,38.39,7.98
palora,75,EC,1570643710,61,-1.7,-77.97,77,3.36
cam ranh,92,AR,1570643711,22,-38.98,-67.82,69.8,5.82
yar-sale,100,RU,1570643262,93,66.83,70.83,39.83,16.59
ola,100,RU,1570643712,80,59.58,151.3,36.59,22.56
morondava,0,MG,1570643712,61,-20.3,44.28,79.43,7.66
